station_id,route_seq,stop_id,name_en,lat,lon,cumulative_km
1,1,9575,[KMB] ON YAM BUS TERMINUS,22.37037,114.14203,0
2,2,9577,[KMB] SHEK FOON HOUSE SHEK PAI STREET|[LWB] SHEK FOON HOUSE SHEK PAI STREET,22.36882,114.14155,0.179
3,3,9574,[KMB] JU CHING CHU SEC. SCH.|[LWB] JU CHING CHU SEC. SCH.,22.36962,114.14053,0.317
4,4,12418,[KMB] SHEK YAM EAST ESTATE|[LWB] SHEK YAM EAST ESTATE,22.3723,114.13935,0.639
5,5,9571,[KMB] NORTH KWAI CHUNG MARKET,22.37066,114.13875,0.831
6,6,9568,[KMB] CHEUNG WING ROAD,22.37041,114.13469,1.249
7,7,9488,[KMB] KWAI CHUN COURT|[LWB] KWAI CHUN COURT,22.3644,114.13273,1.947
8,8,9490,[KMB] SUN KWAI HING GARDENS|[LWB] SUN KWAI HING GARDENS,22.36208,114.13198,2.217
9,9,12500,[KMB] METROPLAZA,22.35687,114.12762,2.949
10,10,9501,[KMB] KWAI FONG STATION BUS TERMINUS|[LWB] KWAI FONG STATION BUS TERMINUS,22.35649,114.128,3.007
