type,id,position_km,locker_capacity,service_time,service_energy,demand_weight,release_time,feasible_lockers
station,1,0.0,5.0,1.5,12.0,,,
station,2,0.616,5.0,1.5,12.0,,,
station,3,0.876,5.0,1.5,12.0,,,
station,4,1.273,5.0,1.5,12.0,,,
station,5,1.709,5.0,1.5,12.0,,,
station,6,3.438,5.0,1.5,12.0,,,
station,7,4.48,5.0,1.5,12.0,,,
station,8,4.752,5.0,1.5,12.0,,,
station,9,4.934,5.0,1.5,12.0,,,
order,1,,,,,1.57,52.2,7;9
order,2,,,,,0.44,37.57,1;2;3
order,3,,,,,1.68,4.0,2;6;8
order,4,,,,,0.53,34.39,2;4;6
order,5,,,,,1.37,24.53,2;3
order,6,,,,,1.22,17.31,2;3
order,7,,,,,0.3,15.54,3;4
order,8,,,,,1.55,22.48,2;4;7
order,9,,,,,1.06,43.44,2;7;9
order,10,,,,,1.64,31.2,5;8
