type,id,position_km,locker_capacity,service_time,service_energy,demand_weight,release_time,feasible_lockers
station,1,0.0,5.0,1.5,12.0,,,
station,2,0.616,5.0,1.5,12.0,,,
station,3,0.876,5.0,1.5,12.0,,,
station,4,1.273,5.0,1.5,12.0,,,
station,5,1.709,5.0,1.5,12.0,,,
station,6,3.438,5.0,1.5,12.0,,,
station,7,4.48,5.0,1.5,12.0,,,
station,8,4.752,5.0,1.5,12.0,,,
station,9,4.934,5.0,1.5,12.0,,,
order,1,,,,,0.39,4.71,2;5;7
order,2,,,,,1.49,8.84,4;6
order,3,,,,,1.64,1.15,3;6;7
order,4,,,,,0.32,48.22,5;6
order,5,,,,,1.53,4.46,2;6
order,6,,,,,1.71,19.63,3;9
order,7,,,,,1.23,52.96,1;3;8
order,8,,,,,1.38,0.02,4;6
order,9,,,,,1.98,14.18,4;7
order,10,,,,,0.93,12.69,1;3;8
