type,id,position_km,locker_capacity,service_time,service_energy,demand_weight,release_time,feasible_lockers
station,1,0.0,5.0,1.5,12.0,,,
station,2,1.602,5.0,1.5,12.0,,,
station,3,2.33,5.1,1.5,12.0,,,
station,4,3.415,8.13,1.5,12.0,,,
station,5,4.406,5.81,1.5,12.0,,,
station,6,6.79,5.0,1.5,12.0,,,
order,1,,,,,1.57,52.2,4;5
order,2,,,,,0.85,53.28,1;3;4
order,3,,,,,1.99,33.3,3;4;5
order,4,,,,,0.43,28.79,4;5
order,5,,,,,0.69,7.29,2;3;4
order,6,,,,,1.63,21.37,2;4
order,7,,,,,0.54,42.42,2;5;6
order,8,,,,,1.48,44.93,3;4
order,9,,,,,0.32,38.87,1;2
order,10,,,,,1.89,20.84,2;5
order,11,,,,,0.38,40.87,3;4;5
order,12,,,,,1.06,43.44,2;4
order,13,,,,,1.23,46.53,3;5
order,14,,,,,0.61,14.58,3;5
order,15,,,,,1.43,34.94,1;4
order,16,,,,,1.77,14.81,4;6
