type,id,position_km,locker_capacity,service_time,service_energy,demand_weight,release_time,feasible_lockers
station,1,0.0,6.73,1.5,12.0,,,
station,2,1.602,5.26,1.5,12.0,,,
station,3,2.33,6.55,1.5,12.0,,,
station,4,3.415,7.34,1.5,12.0,,,
station,5,4.406,6.85,1.5,12.0,,,
station,6,6.79,5.0,1.5,12.0,,,
order,1,,,,,1.39,1.35,2;4;5
order,2,,,,,0.35,5.06,3;4;5
order,3,,,,,1.3,43.71,1;4;6
order,4,,,,,0.47,20.52,2;3;5
order,5,,,,,0.43,15.83,3;4;6
order,6,,,,,1.97,46.19,2;3;4
order,7,,,,,1.49,36.91,1;5
order,8,,,,,1.46,45.51,2;3;4
order,9,,,,,0.66,26.96,3;4;5
order,10,,,,,1.83,21.57,1;3
order,11,,,,,1.65,22.8,1;4
order,12,,,,,1.46,6.19,4;5
order,13,,,,,1.92,47.3,3;5
order,14,,,,,0.56,41.18,3;4;5
order,15,,,,,1.79,44.91,1;2
order,16,,,,,1.96,28.77,1;5
