type,id,position_km,locker_capacity,service_time,service_energy,demand_weight,release_time,feasible_lockers
station,1,0.0,5.0,1.5,12.0,,,
station,2,0.179,5.0,1.5,12.0,,,
station,3,0.317,5.0,1.5,12.0,,,
station,4,0.639,5.0,1.5,12.0,,,
station,5,0.831,5.0,1.5,12.0,,,
station,6,1.249,5.0,1.5,12.0,,,
station,7,1.947,5.0,1.5,12.0,,,
station,8,2.217,5.0,1.5,12.0,,,
station,9,2.949,5.0,1.5,12.0,,,
station,10,3.007,5.0,1.5,12.0,,,
order,1,,,,,1.39,1.35,2;7
order,2,,,,,1.25,38.67,4;6;8
order,3,,,,,0.47,20.52,3;4;5
order,4,,,,,1.28,38.05,1;5
order,5,,,,,1.44,37.9,2;5;6
order,6,,,,,1.73,41.9,2;4;5
order,7,,,,,0.54,7.54,4;6
order,8,,,,,0.56,8.64,5;6;7
order,9,,,,,1.61,18.37,2;3
order,10,,,,,0.56,41.18,5;8
order,11,,,,,0.71,30.64,1;7;8
order,12,,,,,1.94,50.16,4;6
order,13,,,,,1.3,12.43,2;4
order,14,,,,,1.53,47.65,5;9
order,15,,,,,0.4,39.32,2;3
order,16,,,,,0.39,53.96,5;6;8
